place,country_code,place_id
"Bonin Islands, Japan region",JP,706
"11 km ESE of Camiña, Chile",BO,719
"27 km WNW of Bantogon, Philippines",PH,731
"251 km E of Levuka, Fiji",WF,760
"15 km S of Princeton, Canada",CA,767
"Devon Island, Nunavut, Canada",CA,775
"22 km SW of Balangonan, Philippines",PH,831
"14 km E of North Saanich, Canada",CA,832
"69 km N of Yakutat, Alaska",CA,833
"76 km SSE of Pondaguitan, Philippines",PH,842
"29 km SW of Bahía Solano, Colombia",CO,849
central Mid-Atlantic Ridge,BR,853
"266 km ENE of Lospalos, Timor Leste",TL,859
"0 km W of Mediis, Italy",IT,863
"67 km SW of Port-Vila, Vanuatu",VU,878
"43 km SW of Jiquilillo, Nicaragua",NI,893
Southern Tibetan Plateau,CN,917
"81 km N of Barishal, Pakistan",PK,918
"161 km NE of Mi?r?tah, Libya",LY,919
"177 km W of Hihifo, Tonga",TO,941
"261 km W of Adak, Alaska",RU,942
"43 km SSW of Ollagüe, Chile",CL,961
"97 km E of Levuka, Fiji",WF,984
"25 km ENE of Shikotan, Russia",RU,994
"12 km SW of Silos, Colombia",CO,999
"172 km NE of Lospalos, Timor Leste",TL,1005
"23 km SSW of Hualien City, Taiwan",TW,1006
"8 km W of Pablo L. Sidar, Mexico",MX,267
"14 km WNW of Progreso, B.C., MX",MX,538
"21 km ESE of Aquila, Mexico",MX,635
"16 km WSW of Delta, B.C., MX",MX,698
"13 km W of Alberto Oviedo Mota, B.C., MX",MX,732
"9 km NNE of Jesús Carranza, Mexico",MX,759
"106 km WSW of Puerto Madero, Mexico",MX,766
"103 km SSE of Wonosari, Indonesia",ID,164
"186 km W of Abepura, Indonesia",ID,213
"101 km SW of Nabire, Indonesia",ID,292
"216 km S of Sarangani, Philippines",ID,324
"123 km ESE of Bitung, Indonesia",ID,542
"249 km SSW of Jimbaran, Indonesia",ID,551
"73 km W of Tobelo, Indonesia",ID,745
"38 km SSE of Dompu, Indonesia",ID,804
"11 km ENE of Metah?ra, Ethiopia",ET,238
"9 km SSW of ?wash, Ethiopia",ET,273
"12 km NW of ?wash, Ethiopia",ET,277
"1 km WNW of ?wash, Ethiopia",ET,323
"32 km N of ?wash, Ethiopia",ET,337
"0 km SSW of Metah?ra, Ethiopia",ET,489
"33 km NNW of ?wash, Ethiopia",ET,496
"20 km NW of Metah?ra, Ethiopia",ET,521
"16 km SW of ?wash, Ethiopia",ET,593
"30 km N of ?wash, Ethiopia",ET,600
"20 km N of ?wash, Ethiopia",ET,628
"49 km NNW of ?wash, Ethiopia",ET,662
"21 km E of ?wash, Ethiopia",ET,725
"17 km N of ?wash, Ethiopia",ET,803
"7 km ESE of Metah?ra, Ethiopia",ET,841
"2 km NNW of ?wash, Ethiopia",ET,864
"25 km SE of Metah?ra, Ethiopia",ET,930
"28 km S of Metah?ra, Ethiopia",ET,934
"41 km NNW of ?wash, Ethiopia",ET,993
"27 km WNW of Rincón, Puerto Rico",PR,167
"20 km SE of El Negro, Puerto Rico",PR,182
"45 km N of Hatillo, Puerto Rico",PR,203
"5 km E of La Parguera, Puerto Rico",PR,360
"2 km WNW of Tallaboa, Puerto Rico",PR,386
"74 km N of Brenas, Puerto Rico",PR,391
"40 km N of Hatillo, Puerto Rico",PR,490
"1 km E of Isabela, Puerto Rico",PR,502
"2 km NW of Indios, Puerto Rico",PR,503
"79 km N of Culebra, Puerto Rico",PR,641
"5 km SSE of Indios, Puerto Rico",PR,681
"1 km N of Maria Antonia, Puerto Rico",PR,686
"11 km SSE of Guánica, Puerto Rico",PR,737
"44 km N of Hatillo, Puerto Rico",PR,792
"7 km SW of Guánica, Puerto Rico",PR,793
"6 km SE of Maria Antonia, Puerto Rico",PR,794
"4 km WSW of Guánica, Puerto Rico",PR,816
"3 km S of Utuado, Puerto Rico",PR,838
"83 km NW of San Antonio, Puerto Rico",PR,865
"43 km NNW of Petersville, Alaska",US,160
"61 km S of Whites City, New Mexico",US,161
"7 km N of Running Springs, CA",US,162
"79 km NW of Ninilchik, Alaska",US,163
"28 km NNE of Ugashik, Alaska",US,165
"11 km SE of Lima, Montana",US,166
"16 km ENE of Nikiski, Alaska",US,168
"33 km NNW of Sutton-Alpine, Alaska",US,169
"13 km W of Toms Place, CA",US,170
"30 km WNW of Petrolia, CA",US,171
"14 km W of P?hala, Hawaii",US,172
"17 km NE of Yerington, Nevada",US,173
"8 km WNW of West Glacier, Montana",US,174
"54 km SE of Denali National Park, Alaska",US,176
"51 km N of Lake Louise, Alaska",US,177
"13 km ESE of Hawthorne, Nevada",US,178
"17 km SE of Manley Hot Springs, Alaska",US,179
"31 km N of Spencer, Idaho",US,180
"19 km NE of Kukuihaele, Hawaii",US,183
"17 km ESE of Julian, CA",US,184
"4 km SE of Ontario, CA",US,185
"21 km NE of Big Bear City, CA",US,186
"10 km W of Whitefield, Oklahoma",US,187
"47 km E of Beatty, Nevada",US,188
"35 km W of Tyonek, Alaska",US,189
"37 km SSE of Goldfield, Nevada",US,190
"0 km SSE of Julian, CA",US,191
"3 km SE of Carney, Oklahoma",US,192
"21 km SW of Charlotte, Texas",US,193
"65 km WNW of Petrolia, CA",US,194
"25 km ENE of Honaunau-Napoopoo, Hawaii",US,195
"3 km ESE of Lincoln, Montana",US,196
"10 km W of Anza, CA",US,197
"65 km WNW of Beluga, Alaska",US,198
"3 km S of Round Valley, CA",US,200
"35 km WSW of Ackerly, Texas",US,201
"24 km SSE of Mammoth, Wyoming",US,204
"22 km NNE of Yerington, Nevada",US,205
"22 km SSE of Minto, Alaska",US,206
"57 km S of Whites City, New Mexico",US,207
"37 km ENE of Pedro Bay, Alaska",US,208
"19 km SSE of Lindsay, Texas",US,209
"40 km E of Chase, Alaska",US,210
"4 km ESE of Ontario, CA",US,211
"26 km SSW of Ocotillo Wells, CA",US,212
"56 km W of Cantwell, Alaska",US,214
"12 km ESE of Hawthorne, Nevada",US,215
"12 km W of Nanwalek, Alaska",US,216
"42 km WSW of Tyonek, Alaska",US,217
"58 km NE of Whittier, Alaska",US,218
"3 km N of Onalaska, Washington",US,219
"199 km S of False Pass, Alaska",US,221
"54 km W of Happy Valley, Alaska",US,222
"53 km S of Whites City, New Mexico",US,223
"53 km E of Beatty, Nevada",US,224
"80 km SSE of Igiugig, Alaska",US,227
"86 km S of Point Hope, Alaska",US,228
"18 km NNW of San Simeon, CA",US,229
"33 km WSW of Petersville, Alaska",US,230
"26 km WNW of Clayton, Idaho",US,231
"16 km E of Ferry, Alaska",US,233
"13 km SW of Mentone, Texas",US,234
"6 km N of Moreno Valley, CA",US,235
"64 km WNW of Tyonek, Alaska",US,236
"6 km ESE of Califon, New Jersey",US,237
"9 km SSW of Lopez Point, CA",US,239
"32 km SSE of Hope, New Mexico",US,240
"22 km WNW of South Glastonbury, Montana",US,241
"17 km ENE of Drummond, Montana",US,242
"14 km ENE of Mammoth Lakes, CA",US,245
"35 km SE of West Yellowstone, Montana",US,246
"37 km SSW of Portage Creek, Alaska",US,247
"186 km E of Atka, Alaska",US,248
"156 km W of Adak, Alaska",US,249
"12 km SSE of Isla Vista, CA",US,250
"38 km NNE of Amboy, Washington",US,252
"8 km NNW of The Geysers, CA",US,253
"12 km NW of The Geysers, CA",US,254
"3 km S of P?hala, Hawaii",US,255
"11 km SW of Ridgemark, CA",US,256
"66 km ESE of Pedro Bay, Alaska",US,258
"9 km ENE of Fox, Alaska",US,259
"4 km SW of Anderson Springs, CA",US,260
"46 km NW of Toyah, Texas",US,261
"3 km SW of Midland, Texas",US,262
"1 km E of Crocker, Washington",US,263
"17 km SSW of Searles Valley, CA",US,264
"5 km N of Lake Elsinore, CA",US,265
"8 km SE of Sparks, Oklahoma",US,266
"1 km NW of The Geysers, CA",US,268
"2 km SW of Hulbert, Oklahoma",US,269
"58 km S of Denali National Park, Alaska",US,271
"9 km ESE of Lima, Montana",US,272
"37 km WSW of Ackerly, Texas",US,274
"68 km NE of Nikolski, Alaska",US,275
"63 km S of Whites City, New Mexico",US,279
"14 km E of Desert Hot Springs, CA",US,280
"3 km SW of Dibble, Oklahoma",US,281
"27 km WNW of Clayton, Idaho",US,282
"13 km WNW of Mojave, CA",US,283
"116 km W of Adak, Alaska",US,284
"20 km ESE of Elmendorf Air Force Base, Alaska",US,287
"24 km SW of Ocotillo Wells, CA",US,288
"38 km ENE of Amboy, Washington",US,289
"8 km SSE of Idyllwild, CA",US,290
"14 km NNE of Marysville, Montana",US,291
"10 km E of Pinnacles, CA",US,294
"12 km SSW of Gateway, Alaska",US,295
"27 km SSE of Mina, Nevada",US,296
"2 km ESE of Home Gardens, CA",US,297
"2 km SSW of Willow, Alaska",US,298
"59 km NW of Toyah, Texas",US,299
"9 km W of Harding-Birch Lakes, Alaska",US,300
"16 km NNE of Morrison, Oklahoma",US,301
"1 km W of The Geysers, CA",US,302
"37 km ENE of McKinney Acres, Texas",US,303
"10 km NE of P?hala, Hawaii",US,304
"29 km WNW of Hebgen Lake Estates, Montana",US,305
"4 km SW of Winchester, CA",US,306
"22 km NW of Challis, Idaho",US,307
"2 km NE of Helper, Utah",US,308
"2 km NNE of Citrus, CA",US,309
"65 km W of Nanwalek, Alaska",US,310
"15 km NE of Kermit, Texas",US,311
"59 km S of Whites City, New Mexico",US,312
"15 km SSE of Los Ybanez, Texas",US,313
"5 km NW of Logan, Montana",US,314
"77 km W of Salamatof, Alaska",US,315
"11 km W of Stanton, Texas",US,319
"13 km E of Bishop, California",US,320
"27 km S of Dyer, Nevada",US,321
"10 km WSW of Anza, CA",US,322
"9 km WNW of Cobb, CA",US,326
"14 km SE of Bodfish, CA",US,327
"6 km NE of Hoback, Wyoming",US,328
"27 km NNE of Alder Springs, CA",US,329
"6 km SSE of Lytle Creek, CA",US,330
"18 km NE of Coachella, CA",US,331
"28 km N of Atka, Alaska",US,332
"5 km SW of Walker Lake, Nevada",US,333
"51 km SE of Denali National Park, Alaska",US,334
"22 km W of Westmorland, CA",US,335
"74 km NW of Ninilchik, Alaska",US,336
"78 km WNW of Petrolia, CA",US,338
"20 km SE of P?hala, Hawaii",US,339
"29 km WSW of Tanana, Alaska",US,340
"80 km W of Salamatof, Alaska",US,341
"14 km N of Atka, Alaska",US,342
"5 km WNW of Cobb, CA",US,344
"82 km NW of Skwentna, Alaska",US,345
"55 km S of Whites City, New Mexico",US,346
"15 km SE of Knik-Fairview, Alaska",US,347
"32 km SE of Mina, Nevada",US,348
"29 km SE of Skwentna, Alaska",US,349
"16 km NW of Stanton, Texas",US,350
"14 km S of Fern Forest, Hawaii",US,352
"42 km SSE of Denali National Park, Alaska",US,353
"8 km NNW of Bokchito, Oklahoma",US,354
"35 km NNE of Ivanof Bay, Alaska",US,355
"8 km E of Borrego Springs, CA",US,356
"64 km ENE of Chase, Alaska",US,357
"16 km S of Whitehall, Montana",US,358
"17 km SW of McKinney Acres, Texas",US,359
"1 km NNE of The Geysers, CA",US,361
"10 km ESE of Gilroy, CA",US,362
"59 km SW of Cantwell, Alaska",US,363
"17 km SW of Ocotillo Wells, CA",US,364
